place_name,alternate_names,admin_level_2,admin_level_1,admin_level_0,continent,notes
Wyoming Hills,,Luzerne County,Pennsylvania,,,
Yrene,,,,,,
Niagara-on-the-Lake,['Niagaratown'],,Ontario,,,
Bethabara,,,North Carolina,,,
Sideling Hill,,Fulton County,Pennsylvania,,,
Lees Creek,,,Ohio,,,Fayette and Highland County
Coschachkung,,,,,,Coschachkunk
Echpalawehund's Town,,,Ohio,,,Delaware Settlement
Lower Shawnee Town,,,,,,
Denmark,,,,Denmark,,
Green Bay,,,Wisconsin,,,
Jongquakamik Landing,,,Ontario,,,
Massass Town,,,Ohio,,,
Wyalusing,['Wihilusing'],Bradford County,Pennsylvania,,,
Fort Schlosser,['Slosser'],,New York,,,
Shamokin Creek,,Northumberland County,Pennsylvania,,,
Mount Joy,,Lancaster County,Pennsylvania,,,
Thuppekunk,,,Ohio,,,Schonbrunn
Jongquakamik River,['East Sydenham'],,Ontario,,,
Point au Tremble,,,,,,Michigan north of Denke's mission | place on St. Clair River
Niagara,,,New York,,,
Burlington,,,New Jersey,,,
Ontario,,,Ontario,,,Town and Township
Eschebeke,,,,,,possibliy Nescopeek
Gallipolis,,,Ohio,,,Gallis County
Annaquachticok,,,Connecticut,,,
Patowmak,,,,,,
Johnson's Hall,,,New York,,,north side of Mohawk River | place between Fort Hunter and Fort Plain
Beaver Dam,,,,,,
New Stockbridge,,,New York,,,Christian Mahican settlement
Manachningk,,,,,,
St. Joseph River,,,,,,Ohio and Indiana
Lake George,,Warren County,New York,,,
Stratford,,Fairfield County,Connecticut,,,
Switzerland,,,,Switzerland,,
Fairfield,['Old Fairfield'],,Connecticut,,,
South Carolina,,,South Carolina,,,
Wabisisipi,,,Michigan,,,Swan River
Sugar Creek,,Carroll County,Ohio,,,
Wequetank,,,,,,
Hockhooking Creek and Town,['Kockhocking'],,,,,
Schoharie,,,New York,,,
Owego,,,,,,
Spanish Territory,,,,,,
Konigsfeld,,,,Germany,,
Somerset County,,Somerset County,,,,
Leh-cha-week,['Delaware'],,,,,
Nova Scotia,,,Nova Scotia,,,
South Branch,['probably Ohio River'],,,,,
Moravia,,,,,,
Weelhik Thuppeek,,,,,,
Shawnee Town,,,,,,White River
Coschkoschingk,,,,,,
Fort Edward,,Washington County,New York,,,
Berthelsdorf,,,,Germany,,near Herrnhut
Mooch-han-nook,['Delaware'],,,,,Large River
Middletown,,Dauphin County,Pennsylvania,,,
Geneseo,"['Zoneschio', 'Zonesschio']",Livingston County,New York,,,
Gnadenhutten,,,Michigan,,,River | or Clinton | on Huron
Owego River,,,New York,,,
Kanawha River West Virginia,['Kashaway'],,,,,
Muskingum Camp,,,,,,
Cleveland,['Cleveland'],,Ohio,,,
Berthelsdorf,,,,Germany,,
Chitqueu,,,Ohio,,,Deep River
Westminster,,,,,,Enland | London | Liberty of
Hamilton,,Hamilton,Ohio,,,
Fish Kill,,,Pennsylvania,,,probably Northampton County
Fort Meigs,,,Ohio,,,Weed County | Maumee River rapids
Salem,,,North Carolina,,,
Wurtemberg,,,,Germany,,
Delaware Township,,,Ontario,,,Thames River
Pagetschiwomunk,,,Ontario,,,town at mouth of Chenaie ecartee
Quenischachchachchqueh,,,,,,
Otaheite. Gegoraphic Names,,,,,,
Papunhank's Town,,,,,,Susquehanna Valley
Beersheba,,Tuscarawas County,Ohio,,,near Gnadenhutten
Double Eagle,['Doppeladler'],Schuylkill County,Pennsylvania,,,Klinglerstown
Susquehanna River and area,,,Pennsylvania,,,
Fort Littleton,,,Pennsylvania,,,Futon County
Meamkekak,,,Ohio,,,Great Shawnee Town
Machilusing Creek,,,,,,
Shamokin,['also Shomoko'],Northumberland County,Pennsylvania,,,Sunbury
Appelisikook,,,Ohio,,,Walhending area
Tuscarawas,['Tuscarawi'],,Ohio,,,
Wisachkim,,,Pennsylvania,,,place in Susquehanna Region
Canamek,,,,,,
Great Nine Partners Tract,,Dutchess County,New York,,,
Quaker Hill,,,Connecticut,,,
Lehigh River,['Lecha'],,Pennsylvania,,,
Rocky Hill,,,New Jersey,,,
Schoharie,"['Schochari', 'Schochcheri', 'Schochery']",,New York,,,
Kent,,,Connecticut,,,
Locust Point Ottawa County,['called Honey Locust Point'],,Ohio,,,
Conewago,,Livingston County,New York,,,Avon
Tioga River or Creek,['Tiaogu'],,New York,,,name applied to Chemung River
Farmington,"['Firmingtown', 'Vermonthaun']",Hartford County,Connecticut,,,
Brotherton,['Brothertown'],,New York,,,Mohawk River
Lechawachnek,,,,,,
Algiers,,,,,,
Warte,,,Pennsylvania,,,Carbon or Luzerne County
Kitanesink,,,,,,
Hutberg,,,,,,
Wahochquage,,Broome County,New York,,,Ouaquage | possibliy Oquaga
Shawnee Towns,,,Ohio,,,
Conewago Hills,,Dauphin County,Pennsylvania,,,
Kajakistown,,,Ontario,,,
Sakapochk,,,Pennsylvania,,,
Wyalusing,,,,,,
Bern,,,,Switzerland,,
K'takanstschau,,Dutchess County,New York,,,the Big Mountain
Stockbridge,,,Massachusetts,,,
Sax's Tavern,,,,,,
Passekachkungk,,,,,,
Gigeyjunk,,,Indiana,,,Fort Wayne
Berlin,,,,Germany,,
Hokhokunk,['probably Hockhocking'],,,,,
Lawunakhannek,,,,,,
Shamokin,,,Pennsylvania,,,
Westenhuc,"['Westenhuk', 'Westenhook']",Berkshire County,Massachusetts,,,
Fish Kill,,Dutchess County,New York,,,
Menissing,,Pike County,,,,
Cuyahoga River,,,,,,
Muskingum,,,Ohio,,,River and area
Yorktown,,,Virginia,,,
Big Yellow Creek,,,Ohio,,,
Retrenche River,,,,,,
Allemaengel,,,,,,
Bethel on the Swatara,,Berks County,Pennsylvania,,,
Columbia,,Hamilton County,Ohio,,,
Koachachkunk,,,,,,
Woapicamikunk,,,Indiana,,,White River
Indiana Territory,,,,,,
Onengo,['French Creek'],Venango County,Pennsylvania,,,Venango River
Woapisitschankgissigabawik,,,,,,
Corentyn,,,,Suriname,South America,
Harsen's Island,,,,,,
Muskingum River and Country,['Muschkingum'],,Ohio,,,
Fort Schlosser,,,,,,
Salem,,,,,,
Leek Island,,,,,,Delaware River
Codorus Creek,['Catores'],York County,Pennsylvania,,,
Wenschigochpiechen,,,Pennsylvania,,,place in Susquehanna region
Herrnhut,,,,Germany,,
Hokendaugua Creek,,Northampton County,Pennsylvania,,,
Koenigsberg,,Northumberland County,Pennsylvania,,,
Mexico,,,,Mexico,,
Kantanienberg,,,,,,
Mahony,,,Pennsylvania,,,Munsee Town on Allegheny River
Cincinnati,,,Ohio,,,
Onondaga New York,['Onondago'],,,,,
Warte,,,,,,Lake Erie
Greenwich,,,Connecticut,,,County | Fairfield
Armstrong's Town,,,,,,
Owenachki,,,Indiana,,,White River | Hackingpomaka's Town
Vermilion River Ohio,"['Wulamann', 'Zinneber River']",,,,,
Newell,['Newelstown'],Fayette County,Pennsylvania,,,
Mahoning Creek,,,,,,
Goshen,,,New York,,,
Dauphin County,['Dauphiny'],Dauphin County,Pennsylvania,,,
Monnuhhuhtounuk,,,,,,
Rheimstown,,,,,,probably in Pennsylvania
Jamaica,,,,Jamaica,,West Indies
Point Aux Chenes,['Point du Chene'],,Michigan,,,on St. Clair River
Trenton,,,New Jersey,,,
Fort Allen,,,,,,
Shamokin,,,,,,
Venango,,,,,,
Forks of the Delaware,,,,,,
Monongahela,['Monongahala'],,,,,
Fort McIntosh,,,,,,Ohio River
Stoystown,,Somerset County,Pennsylvania,,,
Palatinate,,,,,,The
White River,['Woapikamik'],,Indiana,,,
Muncey,,,Ontario,,,Thames River
Lower Saucon Township,,Northampton County,Pennsylvania,,,
Tinkers Creek Cuyahoga County,"[""Dunker's Creek""]",,Ohio,,,
Oswego,,,,,,New York Gegoraphic Names
Point de Plea,,,,,,
Susquehanna River,,,Pennsylvania,,,
Natowesibi,"['Petquotting', 'Natewssibi']",,Ohio,,,Chippewa name for Huron River
Stillwater Creek,,,,,,
Mesheppen Creek,['Meshopping'],Wyoming County,Pennsylvania,,,
Fort Hamilton,,,,,,
Fort Plain,,,New York,,,
Lemachtschesink,,,Indiana,,,tributary of Wabash River | also Mississinnawa
Tionionwaquagarõnto,,,,,,
Fort Malden,,,Ontario,,,
Oswego,,Oswego County,,,,New York Gegoraphic Names
Lower Sandusky,['Fremont'],,Ohio,,,
Schuylkill River,,,Pennsylvania,,,
Sally Hand,,,,,,
Swatara Creek,,Dauphin County,Pennsylvania,,,
Illinois River,,,,,,
Province Island,,,,,,Philadelphia
Ohio River and area,['Allegheny'],,,,,
Luzerne County,['Wajomick'],Luzerne County,Pennsylvania,,,
Stone River,['Achsin'],,,,,
Langundo-Utenunk,,,,,,
Princeton,['Prinstown'],,New Jersey,,,
Upper Canada,,,,,,
Schoharie New York,['Schocharie'],,,,,
Maumee Point,,,Michigan,,,place on north side of Maumee Bay
Petquotting River,,,,,,
Great Island,,,Pennsylvania,,,below Lock Haven | West Branch Susquehanna
Wooster,,Wayne County,Ohio,,,
Sharon,,,,,,
Wyandot Lower Town,,,Ohio,,,Sandusky River
Sakunk,,,,,,
Schechschiquanunk,,,,,,
Allegheny Mountains,,,,,,
Wabash River,"['Wobash', 'Wapaasch', 'Wabbassch']",,Indiana,,,
Fish Kill,,,New York,,,
Kent,,Litchfield County,Connecticut,,,
Munsee Town,,,,,,
Little Lehigh Creek,,Lehigh County,Pennsylvania,,,
Fort Adams,['also Fort St. Marys'],Mercer County,Ohio,,,
Cape of Good Hope,,,,,,
Hocking River,,,,,,tribut. of Ohio River
Canoos,['Oil Creek'],,New York,,,
Mifflin County,,Mifflin County,Pennsylvania,,,
Weapikamik,,,,,,White River
Blue Mountains,,Franklin County,Pennsylvania,,,
Johnson's Harbor,"['probably Kuckville', 'New York']",,,,,
Kaskaskunk,,,,,,
Mahony,,,,,,
Westliberty,,Ohio County,West Virginia,,,
Wanachquaticok,"['Wannachquattagóck', 'Wannachgoattegóck', 'Wonachquaticok', 'etc.']",Berkshire County,,,,Mass | Westenhuc
Hurley,,Ulster County,New York,,,
Charleston,,Brooke County,West Virginia,,,Wellsburgs | also Buffalo | Charlestown
Harsen's Island,,,Michigan,,,mouth of St. Clair River
Lancaster,,,Pennsylvania,,,Moravian place
Zeninge,,,,,,
Wheeling,['Wiluck'],,West Virginia,,,
New Philadelphia,,,,,,
New York,,,New York,,,
Oswego,,,New York,,,
Ohio River,,,,,,
Tulpenocken,,Berks County,Pennsylvania,,,
Astrachan,,,,Russia,,
New Salem,,,,,,
Kaunaumeek,"['Kenumeck', 'Cenemek']",Columbia County,New York,,,Nassau Township
Juniata Crossings,,Bedford County,Pennsylvania,,,
Forks of the Delaware,,Northampton County,Pennsylvania,,,
Pamballineke Creek,['possibliy Meigs Creek'],Morgan County,Ohio,,,
White Woman's Creek,['Walbonding River'],,Ohio,,,
Salem,,,Ohio,,,Muskingum River
Horn River,['Eskenne'],,,,,
Nottingham,,Lancaster County,Pennsylvania,,,
Tschoniata River,,,,,,
Suriname,,,,Suriname,South America,
Kingston,"['Esopa', 'Sopus']",,,,,N.Y
Marietta,,,,,,
Georgia,,,Georgia,,,
Oquaga,,,New York,,,Broom County | Ouaquaga
Catskill Mountains,,,New York,,,
Elizabeth Point,,,New Jersey,,,
Pipe's Town,,,,,,
Sandusky Plains,,,Ohio,,,
Wachau,['Wachovia'],,,,,Moravian property in North Carolina
Malden,,,Ontario,,,
Province Island,,,,,,
Schechschequanunk,,,,,,
Massassung,,Bradford County,Pennsylvania,,,Wyalusing Township
Great Beaver Creek,,,,,,
Allegheny,"['Allegena', 'Allegene']",,,,,also used for Ohio Territory | River and Territory
Maumee River,,,Ohio,,,
North Carolina,,,North Carolina,,,
Tunkhannock,,,Pennsylvania,,,
Tenkhannik,['also Tenkhanneck'],,,,,
Wachovia,['Wachau'],,North Carolina,,,
Spitzborg,,Carbon County,Pennsylvania,,,
Long Island Sound,,,,,,
Wachovia,['Wachau'],,North Carolina,,,
West Dever Township,,,Ontario,,,
Lititz,,,Pennsylvania,,,Moravian Center
Wintering Place,,,,,,
East Jersey,,,,,,
Sinking Spring,,Berks County,Pennsylvania,,,
Brodhead near Dansbury,['Broadhead'],Monroe County,Pennsylvania,,,
Upper Canada,,,Ontario,,,
White River,"['also White Clay River', 'Woapicamikunk']",,Indiana,,,
Lititz,,,,,,
Assunnunk on Hocking River,"['Assenunk', 'Aszennunk', 'Achsunnunk']",,Ohio,,,
Kaskaskunk,,,Pennsylvania,,,
Cedar Point,,Ottawa County,Ohio,,,
Allegheny,,,,,,
Oxford Township,,,Ontario,,,
Painted Post,,Steuben County,New York,,,
Point Aux Chenes,,,,,,
Hagerstown,,,Maryland,,,
Province Island,,,Pennsylvania,,,
Anahochquaga on Susquehanna River,"['Anahochquage', 'Annochouaja']",,,,,
Tioga,,,,,,
Schenechtady,,,New York,,,
Mahoning Creek,,,Pennsylvania,,,
York,['Toronto'],York,Ontario,,,
Sandusky Bay,,,,,,
Wind Falls,,,Ontario,,,
Race Hill,,,,,,
Wyoming Luzerne County,"['also Wyomack', 'Wajomick', 'Yomack', 'etc.']",,Pennsylvania,,,
Vincennes,,,Indiana,,,
Meschascungk on Susquehanna River,"['Meschaschcung', 'Mesaskung', ""M'schaschcung"", ""M'saschkung"", 'Mesachkung']",,Pennsylvania,,,
Kui-lu-ta-men,['Delaware'],,,,,Place of surprise
Ronneburg,,,,Germany,,
Onondaga,,,New York,,,Syracuse | Iroquois capital
Big Stones Creek,,,Ohio,,,presumably Toussaint River
Danbury,,,Connecticut,,,
Lake St. Clair,,,,,,
Jackson's Tavern,,,New York,,,place between Goshen and Kingston
Salisbury,,,Connecticut,,,
Fort Kanawha,,,,,,
Fort Schuyler,['Skulker'],,,,,
Ti-a-o-ga,['Mohawk'],,,,,the forks
Gawunschiechgunk,,,,,,St. Marys River
Canterbury,,,,,,England
South Sea Islands,,,,,,
Quechquetank,['Wechquetenk'],Monroe County,Pennsylvania,,,
Carolina,,,,,,
Vera Cruz Mexico,['La Vera Cruz'],,,,,
Lake Erie,"['Lake', 'Lack', 'Lac']",,,,,
Stromness,,,,,,Island near mouth of St. Clair River
Hunt's Ferry,,Wyoming County,Pennsylvania,,,Falls
Massch-piuk,['Delaware'],,,,,Wonderful Water
Miami River,,,Ohio,,,
Fort Stanwix,,,,,,original name of Fort Schuyler
Fort Malden,,,,,,
Montmirail,,,,Switzerland,,
Rhinebeck,['Reinbeck'],Dutchess County,New York,,,
Jack Creek,,,Pennsylvania,,,possibly Youghidgheny River
Maumee Bay,['Miami'],,,,,also Tawa Bay
Africa,,,,,Africa,
Swatara Creek,,Schuylkill County,Pennsylvania,,,
Tuscarawas River,,,,,,
Stissing Mountain,['Stissick'],Dutchess County,New York,,,
Hartford,,,Connecticut,,,
Miami River,['Great Niami'],,Ohio,,,
Yorktown,"['presumably York', 'Pennsylvania']",,,,,
Temaitasunk,,,Ohio,,,
Pennsbury Manor,['Pennsbury'],Bucks County,Pennsylvania,,,
River Rouge,['Reuche'],,Michigan,,,
Upper Sandusky,,Wyandot County,Ohio,,,
Neu Tupeeking,,,,,,
Heidelberg,,,Pennsylvania,,,
New Purchase,,,Pennsylvania,,,
Trenton,['Trentown'],,New Jersey,,,
Jahannis Ruh,,,Pennsylvania,,,Carbon or Luzerne County
One Leg Creek,['Gotgatsin'],,Ohio,,,Tuscarawas and Carroll County
Lake Erie,,,,,,
Tawa Bay,,,,,,name for Maumee Bay
Unami,,,,,,Great
Green County,,Green County,Pennsylvania,,,
Butler County,['Fort Hamilton'],Butler County,Ohio,,,
Milford,,,Connecticut,,,
Wolf Mountain,,Monroe County,Pennsylvania,,,
Gnadenthal,,,Pennsylvania,,,Nazareth | modern Gracedale
Bedford,,,Massachusetts,,,
Manheim,,Lancaster County,Pennsylvania,,,
Wulamanink,,,Ohio,,,Vermilion River | Paint River
Vincennes,['Fort Vincent'],,Indiana,,,
Bethlehem,,,,,,Palestine
Geisterborg,['Demons Hill'],Union County,Pennsylvania,,,Otsinachson
Frenchtown,,,Pennsylvania,,,
Greenland,,,,Greenland,,
Tenkhannek,,,Pennsylvania,,,place on Susquehanna | Tengkannek | Tenkkanneck
Elizabeth,['Elizabeth Point'],,New Jersey,,,
Saginaw,,,Michigan,,,
New Niagara,,,,,,
Wilkes-Barre,,,Pennsylvania,,,
Cunameg,,,,,,
Fort McIntosh,,,,,,Ohio River at Beaver Creak
Herrnbaag,,,,Germany,,
Thames River,,,Ontario,,,
Cranberry,"['also Crambarry', 'Cramburry', 'etc.']",,New Jersey,,,
Niagara,,,,,,
Tuscarawas,['Tuscarawi'],Stark County,Ohio,,,
Spain,,,,Spain,,
Detroit,,,Michigan,,,City and Fort
Blanched's Forks,,Hancock County,Ohio,,,
Opest,,,Indiana,,,Au Poste du Ouabeche Vincennes
Humber River,,,Ontario,,,
Fort Miami,,,Ohio,,,Weed County | Maumee River rapids
Raisin River,,,Michigan,,,
Michillimakinac,,,,,,
Skipra[?],,Montgomery County,Pennsylvania,,,
Bound Brook,['Bambrug'],Somerset County,New Jersey,,,
Tioga site of present Athens,"['Tiaogu', 'Diaugu', 'Diaoju']",Bradford County,,,,Pennsylvania Geographic Names
Makkinak,"['Mackinaw City', 'Michigan']",,,,,
Eskenne River,['Hern'],,,,,
White River,,,Indiana,,,
Shecomeco,,Dutchess County,New York,,,
Frederickstown,['Friedrickstown'],Montgomery County,Pennsylvania,,,
Tioginossongochto,,,,,,
Huron Straits,['Straights'],,Ontario,,,near mouth of St. Clair River
Huron River,,,Ohio,,,
Beersheba,,,,,,
Hallobank,"['Hallabank', 'Hallapank', 'Phallobank', 'Phallapank']",,,,,Cayuga Town north of Wyalusing
Zanesville,,,Ohio,,,
New Fairfield,,,Connecticut,,,
Pacific Ocean,['the Great South Sea'],,,,,
Chenessie River,,,,,,
Salt Spring,"['Salineville', 'Ohio?']",,,,,
Wood Creek,,Oneida County,New York,,,
North Branch,,,New York,,,
Nescopeck,,,Pennsylvania,,,
Fulneck,['Fulnec'],,,,,England
Mittesagi,,,Ontario,,,also Warpoles
Stockbridge,,Berkshire County,Massachusetts,,,
Lancaster,,,,,,Pennsylvania? | Massachusetts?
Cushietunk,"['Geschiachton', 'Gechachton']",Wayne County,Pennsylvania,,,near Milenville
Chippewa Town,,,Ontario,,,
Huron River,['Petquotting'],,,,,O
Puchcapuch,['Puchkapuchka'],,,,,
Lake Ontario,['Dundas'],,,,,
Quelutumen,,,Pennsylvania,,,place on Susquehanna River
Derby,,New Haven County,Connecticut,,,
Nenachquejank,,,Ontario,,,Bay on Lake St. Clair
Onondaga,,,,,,
Killbuck Creek,,,Ohio,,,
Staten Island,,,New York,,,
Washington County,,Washington County,Pennsylvania,,,
Monongahela River,,,,,,
Germantown,,,Pennsylvania,,,
Achquittehannink River,['also Echquitehanek'],,Ohio,,,
Pemidhannek,,,,,,
Fort Schlosser,,Niagara County,New York,,,
Sakunk,,,Pennsylvania,,,on Big Beaver Creek
White Clay River,,,,,,
Ysselstein,,,,,,Holland
Pachqueick,,,Connecticut,,,near Pachgatgoch
Woapikamik,,,,,,
Woapicamikunk,,,Indiana,,,White River | also White Clay River
Fort Erie,,,Ontario,,,
Eva Creek,,,,,,
Kentucky,"['Kentuke', 'Kentuk']",,Kentucky,,,
Scioto River,,,Ohio,,,
Canatschochari,,,,,,
Damascus,,,,,,8 miles from Goschgoschunk | place on Allegheny River
Rhinebeck,,,New York,,,
Kaschkaskung,,,,,,
Moscow,,,,Russia,,
New London,,,Connecticut,,,
Westenhuc Moravian mission place in Massachusetts,"['Westenhuck', 'Westenhook']",,,,,
New Fairfield,,Fairfield County,Connecticut,,,
Great Miami River,,,,,,
Wihilusing,['Friedeshutten'],,Pennsylvania,,,Wyalusing
Tawa River,['Miami of the Lake'],,Ohio,,,Maumee River
Mahony River,['Mahoning'],Carbon County,Pennsylvania,,,
Patotiqueja River,"['probably North Sydenham River', 'Patotiquejaak']",,Ontario,,,
Anajot,,,New York,,,Oneida capit also | Tuscarora County
Dutchess County,,Dutchess County,New York,,,
Mahong,,,,,,
Shommunk,,,,,,
Mohawk town,,,Ontario,,,Brantford | Brand's Town
Genesee River,['Chennessee'],,,,,
Checomeco,,,,,,
Oxford,,,Ontario,,,
Scha-mung,['Delaware'],,,,,horn
Oley,,Berks County,Pennsylvania,,,
Pilgermouth,,,Pennsylvania,,,
Wechquatnach,,,Connecticut,,,Mission place
Reading,,,Pennsylvania,,,
Moch-a-weam-ing,['Delaware'],,,,,where water runs through large clear flats
Wyalusing Creek,['Wichlusing'],Bradford County,Pennsylvania,,,
Cawunschannek,,,,,,
Detroit River,,,,,,
Peeks Kill,['Bikskill'],Westchester County,New York,,,
Hudson River,,,,,,
Oakorchard Harbor,,,New York,,,
Redstone,,,Pennsylvania,,,now Bedford | probably Rays Town
Fort Niagara,,Niagara County,New York,,,near Youngstown
Westenhuc,,,,,,
Niagara Hill,,,,,,
Pommern,,,,Germany,,Swedish
Hannastown,,,Pennsylvania,,,
Bedford,,,,,,England
Massachusetts,,,Massachusetts,,,
Red Hook,,Dutchess County,New York,,,
Germany,,,,Germany,,
Tuscarawas Town,['Tuscarawi'],,Ohio,,,
Little Miami River,,,Ohio,,,
Menissing,,,Pennsylvania,,,Lacawanna County
Michilimakinac,,,,,,
Gnadensee,,,Connecticut,,,County | Litchfield | Wechquatnach Lake | Indian Pond
Huron Point,,,,,,
Rocky Point,,,Ohio,,,
Rocky Point,,Ottawa County,Ohio,,,
